name,cuisine,price,link
The Fortunaa Avenue,"North Indian, Fast Food",₹500 for two,https://www.zomato.com/gwalior/the-fortunaa-avenue-city-center/info
,,,https://www.zomato.com/gwalior/subway-city-center/info
Subway,"Healthy Food, Sandwich, Fast Food, Wraps, Salad, Beverages",₹400 for two,https://www.zomato.com/gwalior/subway-city-center/info
,,,https://www.zomato.com/gwalior/royal-indian-restaurant-deen-dayal-nagar/info
ROYAL INDIAN RESTAURANT,"North Indian, Chinese, Pizza, Fast Food, Street Food, Desserts, Beverages",₹350 for two,https://www.zomato.com/gwalior/royal-indian-restaurant-deen-dayal-nagar/info
,,,https://www.zomato.com/gwalior/the-golden-village-lashkar/info
The Golden Village,"North Indian, Chinese, Fast Food, Mughlai, Desserts, Beverages",₹700 for two,https://www.zomato.com/gwalior/the-golden-village-lashkar/info
,,,https://www.zomato.com/gwalior/hotel-narayanam-morar/info
Hotel Narayanam,"North Indian, South Indian, Chinese, Mughlai, Fast Food, Desserts, Beverages, Sichuan",₹700 for two,https://www.zomato.com/gwalior/hotel-narayanam-morar/info
,,,https://www.zomato.com/gwalior/baskin-robbins-ice-cream-desserts-city-center/info
Baskin Robbins - Ice Cream Desserts,"Ice Cream, Desserts, Beverages",₹500 for two,https://www.zomato.com/gwalior/baskin-robbins-ice-cream-desserts-city-center/info
,,,https://www.zomato.com/gwalior/kfc-birla-nagar/info
KFC,"Burger, Fast Food, Rolls",₹450 for two,https://www.zomato.com/gwalior/kfc-birla-nagar/info
,,,https://www.zomato.com/gwalior/alice-in-gelatoland-shahi-durbar-city-center/info
Alice In Gelatoland Shahi Durbar,"Ice Cream, Desserts, Pancake, Waffle, Coffee, Shake",₹300 for two,https://www.zomato.com/gwalior/alice-in-gelatoland-shahi-durbar-city-center/info
,,,https://www.zomato.com/gwalior/the-central-park-city-center/info
The Central Park,"Chinese, North Indian, Mughlai, Continental, Salad, Desserts, Beverages","₹1,000 for two",https://www.zomato.com/gwalior/the-central-park-city-center/info
,,,https://www.zomato.com/gwalior/captains-cafe-city-center/info
Captain's Cafe,"Coffee, Cafe, Italian, North Indian, Chinese, Fast Food, Desserts, Beverages",₹600 for two,https://www.zomato.com/gwalior/captains-cafe-city-center/info
,,,https://www.zomato.com/gwalior/pizza-fuel-cafe-bada-lashkar-naya-bazaar/info
Pizza Fuel Cafe - Bada Lashkar,"Pizza, Fast Food, Burger",₹300 for two,https://www.zomato.com/gwalior/pizza-fuel-cafe-bada-lashkar-naya-bazaar/info
,,,https://www.zomato.com/gwalior/bansiwala-city-center/info
Bansiwala,"North Indian, Desserts",₹300 for two,https://www.zomato.com/gwalior/bansiwala-city-center/info
,,,https://www.zomato.com/gwalior/dominos-pizza-lashkar/info
Domino's Pizza,"Pizza, Italian, Pasta, Fast Food, Desserts",₹400 for two,https://www.zomato.com/gwalior/dominos-pizza-lashkar/info
,,,https://www.zomato.com/gwalior/victorian-vantage-lashkar/info
