name,cuisine,link,main_cuisine,rating,cost
Alfredo's Pizza,"Pizza, Burger, Fast Food",https://www.zomato.com/gwalior/alfredos-pizza-lashkar/info,Pizza,3.2,300
Indian Shake,"Fast Food, Juices",https://www.zomato.com/gwalior/indian-shake-city-center/info,Fast Food,3.0,250
Maggi Adda,"Fast Food, Street Food, Sandwich",https://www.zomato.com/gwalior/maggi-adda-lashkar/info,Fast Food,,200
One Bite,"Burger, Pizza, Fast Food, Waffle, Beverages",https://www.zomato.com/gwalior/one-bite-deen-dayal-nagar/info,Burger,,300
Haridwar Chotiwala,"North Indian, Chinese, Biryani, Beverages",https://www.zomato.com/gwalior/haridwar-chotiwala-lashkar/info,North Indian,,450
Shri Ram Dabeli Center,"Maharashtrian, Street Food",https://www.zomato.com/gwalior/shri-ram-dabeli-center-shinde-ki-chhawani/info,Maharashtrian,,100
King Uncle,"Chinese, Pizza, Sandwich, Burger",https://www.zomato.com/gwalior/king-uncle-lashkar/info,Chinese,,500
Biryani Queen,"Biryani, Rolls, Kebab, Beverages",https://www.zomato.com/gwalior/biryani-queen-birla-nagar/info,Biryani,,1000
Momo Mafia,"Momos, Burger, Sandwich, Street Food",https://www.zomato.com/gwalior/momo-mafia-city-center/info,Momos,,400
Shri Achleshwar Restaurant,"North Indian, Pizza, Chinese",https://www.zomato.com/gwalior/shri-achleshwar-restaurant-1-lashkar/info,North Indian,,400
The Rolls King,"Rolls, Chinese, Fast Food",https://www.zomato.com/gwalior/the-rolls-king-vinay-nagar/info,Rolls,,150
Shree Khatu Shyam Family Restaurant,"North Indian, Chinese, Pizza, Salad, Fast Food, South Indian, Ice Cream, Shake",https://www.zomato.com/gwalior/shree-khatu-shyam-family-restaurant-deen-dayal-nagar/info,North Indian,,350
Momo Mafia,"Fast Food, Momos, Beverages",https://www.zomato.com/gwalior/momo-mafia-vinay-nagar/info,Fast Food,,200
Angutha Chaap,"North Indian, Biryani, Rolls",https://www.zomato.com/gwalior/angutha-chaap-thatipur/info,North Indian,,250
Satkar Family Restaurant,North Indian,https://www.zomato.com/gwalior/satkar-family-restaurant-deen-dayal-nagar/info,North Indian,,250
Dark Bite Cafe & Restaurant,"Chinese, North Indian, Continental, Italian, Street Food, Ice Cream, Shake, Beverages",https://www.zomato.com/gwalior/dark-bite-cafe-restaurant-vinay-nagar/info,Chinese,,500
Ace Cafe,"North Indian, Chinese, Fast Food, Street Food, Beverages",https://www.zomato.com/gwalior/ace-cafe-shinde-ki-chhawani/info,North Indian,,300
Candle Light Cafe & Resto,"North Indian, Chinese, Fast Food, Continental, Sandwich, Rolls, Shake, Beverages",https://www.zomato.com/gwalior/candle-light-cafe-resto-city-center/info,North Indian,,550
MP07 Cafe And Restaurant,"North Indian, Chinese, Ice Cream",https://www.zomato.com/gwalior/mp07-cafe-and-restaurant-city-center/info,North Indian,,300
Foody's Theka,"Pizza, Sandwich, Burger, Shake, Beverages",https://www.zomato.com/gwalior/foodys-theka-birla-nagar/info,Pizza,,150
Kushwah Fast Food Center,"Fast Food, Chinese, South Indian, Momos, Street Food",https://www.zomato.com/gwalior/kushwah-fast-food-center-city-center/info,Fast Food,,200
Pragyan Chinese Food,"Chinese, South Indian, Fast Food",https://www.zomato.com/gwalior/pragyan-chinese-food-lashkar/info,Chinese,3.7,300
Shukla Tiffin Center And Mess,"North Indian, Chinese",https://www.zomato.com/gwalior/shukla-tiffin-center-and-mess-mahalgaon/info,North Indian,,300
Masala Junction,"North Indian, Chinese, Biryani, Pizza, Fast Food, Street Food, Desserts, Beverages",https://www.zomato.com/gwalior/masala-junction-city-center/info,North Indian,,400
Balaji Soya Chaap Corner,"North Indian, Fast Food, Beverages",https://www.zomato.com/gwalior/balaji-soya-chaap-corner-1-prasad-nagar/info,North Indian,,250
F3 - Food Court,"North Indian, Chinese, South Indian, Pizza, Fast Food, Desserts, Shake, Beverages",https://www.zomato.com/gwalior/f3-food-court-lashkar/info,North Indian,,450
Magpie Inn Resort,"North Indian, Chinese",https://www.zomato.com/gwalior/magpie-inn-resort-gulmohar-city/info,North Indian,,400
The Black Sqaure,"Pizza, Burger, Pasta",https://www.zomato.com/gwalior/the-black-sqaure-naya-bazaar/info,Pizza,,350
Krishna Bakers & Fast Food,"Bakery, Fast Food",https://www.zomato.com/gwalior/krishna-bakers-fast-food-ghosipura/info,Bakery,,200
Cafe Brew Together,"Pizza, Sandwich, Italian, Chinese, Fast Food, South Indian, Shake, Beverages",https://www.zomato.com/gwalior/cafe-brew-together-city-center/info,Pizza,,600
Foodology,"Pizza, Burger, Fast Food, Chinese, South Indian, Street Food, Beverages",https://www.zomato.com/gwalior/foodology-city-center/info,Pizza,,200
Hotel Manglam Inn,"North Indian, Chinese, Beverages",https://www.zomato.com/gwalior/hotel-manglam-inn-thatipur/info,North Indian,,1000
Karwaan - Restro & Cafe,"Pizza, Fast Food, Chinese, Street Food, Tea, Coffee, Shake",https://www.zomato.com/gwalior/karwaan-restro-cafe-city-center/info,Pizza,,300
Tea Lobby Cafe,"Street Food, Pizza, Beverages, Fast Food, Sandwich, Pasta, Burger",https://www.zomato.com/gwalior/tea-lobby-cafe-birla-nagar/info,Street Food,,200
Madrasi Dosa,South Indian,https://www.zomato.com/gwalior/madrasi-dosa-shinde-ki-chhawani/info,South Indian,,250
Avadh Food,"Biryani, Kebab, Rolls",https://www.zomato.com/gwalior/avadh-food-city-center/info,Biryani,,150
Beeda Paan,Paan,https://www.zomato.com/gwalior/beeda-paan-lashkar/info,Paan,,100
Poonam Sweet And Snacks,"Mithai, Fast Food",https://www.zomato.com/gwalior/poonam-sweet-and-snacks-deen-dayal-nagar/info,Mithai,,100
Dai Chinese Corner,"Chinese, Sandwich, Fast Food, South Indian, Beverages, Street Food",https://www.zomato.com/gwalior/dai-chinese-corner-shinde-ki-chhawani/info,Chinese,,300
Uncle Ka Panjabi Tadka,North Indian,https://www.zomato.com/gwalior/uncle-ka-panjabi-tadka-morar/info,North Indian,,300
Seth Ji Ka Dhaba And Family Restaurant,"North Indian, Chinese",https://www.zomato.com/gwalior/seth-ji-ka-dhaba-and-family-restaurant-model-town/info,North Indian,,400
The Golden Cafee,"Fast Food, Sandwich, Pizza, Street Food, Shake, Beverages",https://www.zomato.com/gwalior/the-golden-cafee-naya-bazaar/info,Fast Food,,350
Where's The Food,"North Indian, Chinese, Sandwich, Pizza, Fast Food, Street Food, Tea, Beverages",https://www.zomato.com/gwalior/wheres-the-food-thatipur/info,North Indian,,300
Neel Shri Food Point,"North Indian, Chinese",https://www.zomato.com/gwalior/neel-shri-food-point-lashkar/info,North Indian,,350
Shri Hari Cafe And Restaurant,"North Indian, Burger, Sandwich, Fast Food, Street Food",https://www.zomato.com/gwalior/shri-hari-cafe-and-restaurant-1-vijaynagar/info,North Indian,,350
Mannat Cafe And Family Restaurant,"North Indian, South Indian, Chinese, Fast Food, Beverages",https://www.zomato.com/gwalior/mannat-cafe-and-family-restaurant-morar/info,North Indian,,300
Roll S Mama,"Chinese, Rolls, Momos",https://www.zomato.com/gwalior/roll-s-mama-city-center/info,Chinese,,300
Mayur Family Restaurant,"North Indian, Chinese, Fast Food, Street Food, Healthy Food, Beverages",https://www.zomato.com/gwalior/mayur-family-restaurant-lohamandi/info,North Indian,,200
Mangalam Inn Restaurant,"South Indian, Chinese, Italian, Rolls, Fast Food, Desserts, Juices, Beverages",https://www.zomato.com/gwalior/mangalam-inn-restaurant-deen-dayal-nagar/info,South Indian,,1000
Art Of Momo,Momos,https://www.zomato.com/gwalior/art-of-momo-thatipur/info,Momos,,150
The Pakhras Waffles,Waffle,https://www.zomato.com/gwalior/the-pakhras-waffles-lashkar/info,Waffle,,300
Cafe TCFC,"Cafe, Fast Food, Sandwich, Pizza, Street Food, Desserts, Beverages, Shake",https://www.zomato.com/gwalior/cafe-tcfc-lashkar/info,Cafe,,600
Punjabi Royal Food,"North Indian, Chinese",https://www.zomato.com/gwalior/punjabi-royal-food-1-shinde-ki-chhawani/info,North Indian,,250
The Lazy Pizza,"Pizza, Street Food, Bakery",https://www.zomato.com/gwalior/the-lazy-pizza-lohamandi/info,Pizza,,300
Love Tea Cafe,"Sandwich, Pizza, Fast Food, Chinese, Beverages, Shake",https://www.zomato.com/gwalior/love-tea-cafe-vinay-nagar/info,Sandwich,,300
Hotel Raj Mohan Palace,"North Indian, Chinese, Beverages",https://www.zomato.com/gwalior/hotel-raj-mohan-palace-anand-nagar/info,North Indian,,600
Raja Ice Cream Parlour,"Ice Cream, Bakery, Desserts",https://www.zomato.com/gwalior/raja-ice-cream-parlour-lashkar/info,Ice Cream,,350
Nirmal Restaurant,"Chinese, Fast Food, North Indian, Beverages",https://www.zomato.com/gwalior/nirmal-restaurant-lashkar/info,Chinese,,300
Food Costa,"Pizza, Burger, Fast Food, South Indian, Biryani, Momos, Shake, Beverages",https://www.zomato.com/gwalior/food-costa-city-center/info,Pizza,,350
Mom's Cafe & Restaurant,"Pizza, Burger, Sandwich, Chinese, Street Food, Fast Food, Shake, Beverages",https://www.zomato.com/gwalior/moms-cafe-restaurant-shinde-ki-chhawani/info,Pizza,,450
The Brown Cafe,"Fast Food, Chinese, Pizza, Sandwich, Beverages",https://www.zomato.com/gwalior/the-brown-cafe-anand-nagar/info,Fast Food,,300
Rajwadi Taste Of Rajasthan,"Rajasthani, North Indian, Mughlai, Chinese, Street Food",https://www.zomato.com/gwalior/rajwadi-taste-of-rajasthan-madhav-ganj/info,Rajasthani,,400
Pizza Hot Cafe,"Pizza, Burger, Sandwich, Fast Food, Shake",https://www.zomato.com/gwalior/pizza-hot-cafe-shinde-ki-chhawani/info,Pizza,,150
Biriyani 07,Biryani,https://www.zomato.com/biriyani-07-food-truck/info,Biryani,,200
Ashok Dhaba,"North Indian, Street Food",https://www.zomato.com/gwalior/ashok-dhaba-1-anand-nagar/info,North Indian,,350
The Twilight Cafe,"Fast Food, Beverages, Coffee, Momos, Chinese",https://www.zomato.com/gwalior/the-twilight-cafe-vinay-nagar/info,Fast Food,,200
# D12 Cafe & Restaurant,"Pizza, Sandwich, Pasta, Chinese, Street Food, Fast Food, Desserts, Shake",https://www.zomato.com/gwalior/d12-cafe-restaurant-vinay-nagar/info,Pizza,,300
Apna Family Restaurant,"North Indian, Mughlai, Chinese, Fast Food, Street Food, Ice Cream, Desserts, Beverages",https://www.zomato.com/gwalior/apna-family-restaurant-birla-nagar/info,North Indian,,400
Kukduu Kuuu ...,"North Indian, BBQ, Biryani",https://www.zomato.com/gwalior/kukduu-kuuu-shinde-ki-chhawani/info,North Indian,,450
Level 3 Bar & Restaurant,"Bar Food, North Indian, Chinese",https://www.zomato.com/gwalior/level-3-bar-restaurant-lohamandi/info,Bar Food,,1000
Jai Dandraua Bhojanalya & Family Restaurant,North Indian,https://www.zomato.com/gwalior/jai-dandraua-bhojanalya-family-restaurant-mahalgaon/info,North Indian,,200
Smile HL Fast Food Corner,"Fast Food, Burger, Sandwich, Pizza, Street Food, Beverages",https://www.zomato.com/gwalior/smile-hl-fast-food-corner-birla-nagar/info,Fast Food,,400
Shriram's Food Court,"Rolls, North Indian, Fast Food, Sandwich, Burger, Chinese, Beverages, Pizza",https://www.zomato.com/gwalior/shrirams-food-court-deen-dayal-nagar/info,Rolls,,400
Baking Cart,"Bakery, Desserts",https://www.zomato.com/gwalior/baking-cart-lashkar/info,Bakery,,500
Om Sai Bhojnalay,North Indian,https://www.zomato.com/gwalior/om-sai-bhojnalay-prasad-nagar/info,North Indian,,250
Neel Shree Family Restaurant,"North Indian, Mughlai, Fast Food, Street Food, Beverages",https://www.zomato.com/gwalior/neel-shree-family-restaurant-lashkar/info,North Indian,,500
Kullad Tea Cafe,"Tea, Coffee, Shake, Pizza, Burger, Sandwich, Street Food",https://www.zomato.com/gwalior/kullad-tea-cafe-deen-dayal-nagar/info,Tea,,250
Maxsun Hotel & Banquet,"North Indian, South Indian, Biryani, Chinese, Seafood, Sandwich, Fast Food, Beverages",https://www.zomato.com/gwalior/maxsun-hotel-banquet-thatipur/info,North Indian,,1000
