name,location,locality,city,cuisine,rating,votes,cost,main_cuisine
Hn'ny Pizzeria,"Narela, North Delhi",North Delhi,Delhi,"Pizza,  Fast Food",3.3,3,400,Pizza
Barbeque Nation,"Spaze Platinum Tower,Sector 47, Gurgaon",Gurgaon,Gurgaon,"North Indian,  Barbecue,  Mughlai",4.5,202,1700,North Indian
Green House - The Beer Garden,"Eros City Square,Sector 49, Gurgaon",Gurgaon,Gurgaon,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Mexican,  Mediterranean,  European,  Oriental",4.5,836,2100,Multi-Cuisine
Cafe Underworld,"Sector 14, Faridabad",Faridabad,Noida,"Fast Food,  North Indian",4.1,8,1000,Fast Food
Chaayos,"Good Earth City Centre Mall,Sector 50, Gurgaon",Gurgaon,Gurgaon,"Street Food,  Tea,  Fast Food",4.0,27,500,Street Food
Krua Thai,"M3M Urbana,Sector 67, Gurgaon",Gurgaon,Gurgaon,"Thai,  Asian",4.5,10,1800,Thai
Broadway,"Radisson Blu Faridabad,Sector 20, Faridabad",Faridabad,Noida,"Multi-Cuisine,  North Indian,  Italian,  Continental,  American",4.2,52,3500,Multi-Cuisine
Urban Pind Restaurant,"NIT, Faridabad",Faridabad,Noida,North Indian,3.9,19,500,North Indian
Naivedyam,"Sohna Road, Gurgaon",Gurgaon,Gurgaon,South Indian,4.4,412,500,South Indian
Hunger Cure,"Sector 14, Faridabad",Faridabad,Noida,"Fast Food,  Chinese",3.5,8,500,Fast Food
The Master Kitchen,"81 High Street,Sector 81, Faridabad",Faridabad,Noida,"Fast Food,  Chinese,  Shakes",5.0,3,700,Fast Food
Pizzaiolo,"Eros City Square,Sector 49, Gurgaon",Gurgaon,Gurgaon,"Italian,  Pizza",5.0,2,800,Italian
Dhaba Junction,"Sector 12, Faridabad",Faridabad,Noida,"North Indian,  Chinese,  South Indian,  Fast Food",4.0,44,1000,North Indian
Jacket Aloo,"Eros City Square,Sector 49, Gurgaon",Gurgaon,Gurgaon,Fast Food,4.4,7,600,Fast Food
Houz Cafe Bar,"Sector 65, Gurgaon",Gurgaon,Gurgaon,"World Cuisine,  Italian,  Mediterranean,  French,  Lebanese,  Indian Cuisine",5.0,1,2200,World Cuisine
Spicy Tadka,"Sector 10, Faridabad",Faridabad,Noida,"North Indian,  Chinese,  Mughlai",4.5,26,800,North Indian
The Brewhouse - Brewery,"Radisson Hotel Gurugram Sohna Road City Center,Sector 49, Gurgaon",Gurgaon,Gurgaon,"Continental,  North Indian,  Finger Food",4.5,97,1500,Continental
The Coffizza,"Sector 81, Faridabad",Faridabad,Noida,"Italian,  Fast Food,  Coffee",3.8,2,600,Italian
California Burrito,"Vatika Business Centre,Sector 49, Gurgaon",Gurgaon,Gurgaon,Mexican,4.6,61,700,Mexican
Cafe Central,"Radisson Hotel Gurugram Sohna Road City Center,Sector 49, Gurgaon",Gurgaon,Gurgaon,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Asian",3.8,115,3500,Multi-Cuisine
Chaayos,"Sohna Road, Gurgaon",Gurgaon,Gurgaon,"Street Food,  Tea,  Fast Food",4.8,8,500,Street Food
Minnie's Kitchen,"Sector 79, Faridabad",Faridabad,Noida,"North Indian,  Chinese,  Fast Food",3.8,14,400,North Indian
Zaika 7,"Sector 11, Faridabad",Faridabad,Noida,"North Indian,  Chinese",4.2,14,700,North Indian
Hunger Cure,"Omaxe World Street,Sector 79, Faridabad",Faridabad,Noida,"Fast Food,  Chinese",2.7,3,500,Fast Food
Coffee Ville,"Sohna Road, Gurgaon",Gurgaon,Gurgaon,"Coffee,  Health Food",1.0,1,400,Coffee
Stop My Starvation,"Sohna Road, Gurgaon",Gurgaon,Gurgaon,"Desserts,  Fast Food,  Shakes,  Waffle",5.0,1,600,Desserts
Barbeque Nation,"Omaxe Connaught Place Mall,Beta 2, NCR Greater Noida",NCR Greater Noida,Noida,"North Indian,  Barbecue,  Mughlai",4.4,156,1700,North Indian
Sagar Ratna,"Omaxe City Centre,Omega 1, NCR Greater Noida",NCR Greater Noida,Noida,"South Indian,  North Indian,  Chinese",4.2,14,900,South Indian
Legends Of India By Savoy Suites,"Knowledge Park, NCR Greater Noida",NCR Greater Noida,Noida,"North Indian,  Biryani",4.3,10,1500,North Indian
Food Frolic,"Sector 83, Gurgaon",Gurgaon,Gurgaon,"North Indian,  Chinese,  Continental,  Mediterranean",4.1,119,1600,North Indian
